year_month,y,x1,x2,x3,x41,x42,x43,x44,x45,x51,x52,x6,x7,x8,x9,x10,x11,x12
2013/1/1,220896,1281638,279970,1001668,11,20,0,0,0,9,21,0,19.51,0.61,72,35.91,102.1,98.4
2013/2/1,281357,924895,212186,712709,7,21,0,0,0,11,17,1,19.94,0.45,48.52,23.35,102.6,98.7
2013/3/1,239428,1090699,224207,866492,0,23,8,0,0,9,21,0,15.38,0.47,65.14,28.58,102.2,98
2013/4/1,270696,1000591,238272,762319,0,14,16,0,0,9,21,0,13.31,0.5,60.28,25.39,102.2,97.7
2013/5/1,211256,1058006,281746,776260,0,0,28,3,0,9,21,0,11.25,0.55,66.65,27.24,102.1,98
2013/6/1,295161,1097199,428450,668749,0,0,15,13,2,11,19,0,11.25,0.53,66.49,31.36,102.5,97.8
2013/7/1,298621,1560619,624228,936391,0,0,0,4,27,8,22,0,15.66,0.73,96.59,45.45,102,98
2013/8/1,195401,1607698,572029,1035669,0,0,0,12,19,8,22,0,33.24,1.01,79.36,46.95,102.1,98.3
2013/9/1,192960,1162478,518828,643650,0,0,11,19,0,9,21,0,28.7,0.87,55.48,31.09,102.5,98.6
2013/10/1,271295,1024190,418311,605879,0,0,31,0,0,12,18,0,13.39,0.65,62.37,25.82,102.6,98.3
2013/11/1,311879,1042108,325888,716220,1,18,11,0,0,9,21,0,11.11,0.54,62.87,29.51,102.4,98.3
2013/12/1,309809,1242486,294205,948281,6,25,0,0,0,9,21,0,12.3,0.55,77.52,34.2,102.4,98.6
2014/1/1,257048,1175872,318589,857283,4,26,1,0,0,9,22,0,18.48,0.6,63.48,34.86,103,98.7
2014/2/1,317009,1045323,254117,791206,4,24,0,0,0,11,17,1,17.65,0.47,58.96,27.35,102.7,98.3
2014/3/1,284009,1137446,267848,869598,0,20,11,0,0,8,23,0,17.92,0.54,65.45,29.87,102.5,98.2
2014/4/1,291095,1008390,291952,716438,0,4,26,0,0,9,21,0,13.97,0.52,59.97,26.28,102.3,98.7
2014/5/1,254696,1076869,339738,737131,0,0,24,7,0,10,21,0,11.29,0.54,66.24,29.57,102.9,99.2
2014/6/1,273438,1091138,502471,588667,0,0,17,13,0,10,20,0,11.37,0.58,65.31,31.9,102.6,99.6
2014/7/1,259948,1366301,749031,617270,0,0,2,26,3,8,23,0,11.75,0.71,83.74,40.5,103,100.1
2014/8/1,172980,1325358,725331,600027,0,0,3,25,3,10,21,0,21.37,0.82,70.69,38.2,102.6,99.9
2014/9/1,237892,1118414,726352,392062,0,0,15,15,0,9,21,0,16.38,0.7,62.63,33.43,102.7,99.2
2014/10/1,308770,1014197,640866,373331,0,0,31,0,0,12,19,0,11.43,0.62,60.68,29.33,102.4,98.8
2014/11/1,392751,1027734,448243,579491,0,16,14,0,0,10,20,0,10.4,0.56,63.03,28.84,102.6,98.2
2014/12/1,347841,1292465,370751,921714,18,13,0,0,0,8,23,0,11.88,0.6,79.04,38.53,102.6,98
2015/1/1,265486,1295599,376743,918856,21,10,0,0,0,10,21,0,19.39,0.63,71.49,38.61,101.8,96.7
2015/2/1,338384,983712,260153,723559,17,11,0,0,0,10,18,1,20.36,0.49,51.04,26.51,102.6,96.4
2015/3/1,348957,1159886,373283,786603,7,24,0,0,0,9,22,0,16.12,0.53,66.17,34.02,102.5,96.5
2015/4/1,289450,1024165,367939,656226,0,9,21,0,0,9,21,0,14.93,0.52,60.04,28.98,102.6,96.5
2015/5/1,272454,1068349,372072,696277,0,0,31,0,0,11,20,0,11.4,0.59,64.63,31.27,102.3,96.6
2015/6/1,288921,1140346,524831,615515,0,0,18,11,1,9,21,0,11.23,0.53,68.96,33.27,102.4,96.6
2015/7/1,336323,1341350,651517,689833,0,0,8,17,6,8,23,0,12.5,0.73,82.38,38.49,102.6,95.9
2015/8/1,234033,1422789,652557,770232,0,0,3,21,6,10,21,0,19.73,0.79,76.96,44.89,102.8,95.1
2015/9/1,212817,1147721,644789,502932,0,0,13,17,0,8,22,0,22.51,0.82,57.14,34.38,102.2,95.3
2015/10/1,240699,1046572,604780,441792,0,0,31,0,0,12,18,0,12.81,0.6,61.58,29.74,102.4,95.4
2015/11/1,345621,1085528,549035,536493,3,10,17,0,0,9,21,0,11.22,0.57,65.34,31.42,102.4,95.8
